Listing for omni2 data from 19700306 to 19700310
Selected parameters:
 1 Scalar B, nT
 2 BX, nT (GSE, GSM)
 3 BY, nT (GSM)
 4 BZ, nT (GSM)
 5 SW Plasma Temperature, K
 6 SW Proton Density, N/cm^3
 7 SW Plasma Speed, km/s
 8 Flow pressure
 9 E elecrtric field 
10 Plasma Beta

YEAR DOY HR    1     2     3     4        5     6     7     8      9     10 
1970  69 13 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  69 14 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  69 15 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  69 16 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  69 17 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  69 18 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  69 19 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  69 20 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  69 21 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  69 22 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
1970  69 23 999.9 999.9 999.9 999.9 9999999. 999.9 9999. 99.99 999.99 999.99
